=== Oracle gratuit | seed=1 ===
Run: oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229
  device=cuda, batch=1024, updates=488
  CSV → logs/oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229.csv
  obs=(64, 64, 3), n_actions=8, query_action=7
  params=67,167,753
[   1/488] step=   1024 | ep=    1 | return= 0.697 | guided%= 12.1 | bc=0.0000 | cumQ=   108 | bc_coef=0.000 | sps=312
[  10/488] step=  10240 | ep=   84 | return= 0.600 | guided%= 25.7 | bc=0.0000 | cumQ=  1992 | bc_coef=0.000 | sps=463
[  20/488] step=  20480 | ep=  449 | return= 0.803 | guided%= 76.1 | bc=0.0000 | cumQ=  8142 | bc_coef=0.000 | sps=468
[  30/488] step=  30720 | ep=  924 | return= 0.829 | guided%= 71.3 | bc=0.0000 | cumQ= 15694 | bc_coef=0.000 | sps=467
[  40/488] step=  40960 | ep= 1453 | return= 0.854 | guided%= 65.8 | bc=0.0000 | cumQ= 22333 | bc_coef=0.000 | sps=466
[  50/488] step=  51200 | ep= 2011 | return= 0.867 | guided%= 59.1 | bc=0.0000 | cumQ= 28656 | bc_coef=0.000 | sps=466
[  60/488] step=  61440 | ep= 2562 | return= 0.872 | guided%= 56.2 | bc=0.0000 | cumQ= 34616 | bc_coef=0.000 | sps=465
[  70/488] step=  71680 | ep= 3116 | return= 0.874 | guided%= 53.0 | bc=0.0000 | cumQ= 40215 | bc_coef=0.000 | sps=465
[  80/488] step=  81920 | ep= 3660 | return= 0.873 | guided%= 53.3 | bc=0.0000 | cumQ= 45750 | bc_coef=0.000 | sps=465
[  90/488] step=  92160 | ep= 4197 | return= 0.869 | guided%= 53.1 | bc=0.0000 | cumQ= 51328 | bc_coef=0.000 | sps=465
[ 100/488] step= 102400 | ep= 4726 | return= 0.878 | guided%= 51.2 | bc=0.0000 | cumQ= 56486 | bc_coef=0.000 | sps=466
